Date/Time,Unit,Value
08.12.23 21:54:00,C,4
08.12.23 22:54:00,C,4
08.12.23 23:54:00,C,4
09.12.23 00:54:00,C,4
09.12.23 01:54:00,C,4
09.12.23 02:54:00,C,4
09.12.23 03:54:00,C,4
09.12.23 04:54:00,C,4
09.12.23 05:54:00,C,4
09.12.23 06:54:00,C,4
09.12.23 07:54:00,C,4
09.12.23 08:54:00,C,4
09.12.23 09:54:00,C,4
09.12.23 10:54:00,C,5
09.12.23 11:54:00,C,5
09.12.23 12:54:00,C,5
09.12.23 13:54:00,C,6
09.12.23 14:54:00,C,5
09.12.23 15:54:00,C,5
09.12.23 16:54:00,C,5
09.12.23 17:54:00,C,5
09.12.23 18:54:00,C,5
09.12.23 19:54:00,C,5
09.12.23 20:54:00,C,5
09.12.23 21:54:00,C,5
09.12.23 22:54:00,C,6
09.12.23 23:54:00,C,6
10.12.23 00:54:00,C,6
10.12.23 01:54:00,C,6
10.12.23 02:54:00,C,5
10.12.23 03:54:00,C,5
10.12.23 04:54:00,C,5
10.12.23 05:54:00,C,5
10.12.23 06:54:00,C,5
10.12.23 07:54:00,C,5
10.12.23 08:54:00,C,5
10.12.23 09:54:00,C,6
10.12.23 10:54:00,C,7
10.12.23 11:54:00,C,7
10.12.23 12:54:00,C,6
10.12.23 13:54:00,C,7
10.12.23 14:54:00,C,7
10.12.23 15:54:00,C,7
10.12.23 16:54:00,C,6
10.12.23 17:54:00,C,5
10.12.23 18:54:00,C,5
10.12.23 19:54:00,C,5
10.12.23 20:54:00,C,6
10.12.23 21:54:00,C,6
10.12.23 22:54:00,C,6
10.12.23 23:54:00,C,6
11.12.23 00:54:00,C,6
11.12.23 01:54:00,C,7
11.12.23 02:54:00,C,6
11.12.23 03:54:00,C,6
11.12.23 04:54:00,C,7
11.12.23 05:54:00,C,7
11.12.23 06:54:00,C,7
11.12.23 07:54:00,C,7
11.12.23 08:54:00,C,7
11.12.23 09:54:00,C,7
11.12.23 10:54:00,C,8
11.12.23 11:54:00,C,8
11.12.23 12:54:00,C,8
11.12.23 13:54:00,C,8
11.12.23 14:54:00,C,8
11.12.23 15:54:00,C,8
11.12.23 16:54:00,C,7
11.12.23 17:54:00,C,7
11.12.23 18:54:00,C,6
11.12.23 19:54:00,C,5
11.12.23 20:54:00,C,6
11.12.23 21:54:00,C,6
11.12.23 22:54:00,C,6
11.12.23 23:54:00,C,5
12.12.23 00:54:00,C,6
12.12.23 01:54:00,C,6
12.12.23 02:54:00,C,6
12.12.23 03:54:00,C,5
12.12.23 04:54:00,C,5
12.12.23 05:54:00,C,5
12.12.23 06:54:00,C,5
12.12.23 07:54:00,C,6
12.12.23 08:54:00,C,6
12.12.23 09:54:00,C,6
12.12.23 10:54:00,C,6
12.12.23 11:54:00,C,7
12.12.23 12:54:00,C,7
12.12.23 13:54:00,C,8
12.12.23 14:54:00,C,8
12.12.23 15:54:00,C,8
12.12.23 16:54:00,C,8
12.12.23 17:54:00,C,7
12.12.23 18:54:00,C,7
12.12.23 19:54:00,C,7
12.12.23 20:54:00,C,7
12.12.23 21:54:00,C,7
12.12.23 22:54:00,C,6
12.12.23 23:54:00,C,7
13.12.23 00:54:00,C,7
13.12.23 01:54:00,C,7
13.12.23 02:54:00,C,7
13.12.23 03:54:00,C,7
13.12.23 04:54:00,C,7
13.12.23 05:54:00,C,7
13.12.23 06:54:00,C,6
13.12.23 07:54:00,C,6
13.12.23 08:54:00,C,6
13.12.23 09:54:00,C,7
13.12.23 10:54:00,C,8
13.12.23 11:54:00,C,8
13.12.23 12:54:00,C,9
13.12.23 13:54:00,C,8
13.12.23 14:54:00,C,8
13.12.23 15:54:00,C,8
13.12.23 16:54:00,C,6
13.12.23 17:54:00,C,6
13.12.23 18:54:00,C,6
